Division,District,Upazila,Market,Commodity,Price Type,Year,Lowest Price,Highest Price,Average Price
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Retail,2018,52.3,53.62,52.96
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Retail,2019,54.35,55.37,54.86
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Retail,2020,61.63,62.9,62.26
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Wholesale,2018,"4,966.15","4,981.15","4,973.65"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Wholesale,2019,"5,203.35","5,221.51","5,212.43"
Khulna,Bagerhat,Bagerhat Sadar,Bagerhat Sadar,Sugar (Imported),Wholesale,2020,"5,863.51","5,880.69","5,872.10"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Retail,2018,52.61,53.98,53.3
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Retail,2019,53.02,54.63,53.83
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Retail,2020,61.55,63.36,62.46
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Wholesale,2018,"4,961.25","5,087.92","5,024.58"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Wholesale,2019,"5,002.09","5,141.00","5,071.55"
Chittagong,Bandarban,Bandarban Sadar,Bandarban Sadar,Sugar (Imported),Wholesale,2020,"5,855.38","6,017.69","5,936.54"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Retail,2018,51.84,53.81,52.83
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Retail,2019,54.62,56.36,55.49
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Retail,2020,61.56,62.94,62.25
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Wholesale,2018,"4,898.98","4,997.44","4,948.21"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Wholesale,2019,"5,059.55","5,243.98","5,151.76"
Barisal,Barguna,Barguna Sadar,Barguna Sadar,Sugar (Imported),Wholesale,2020,"5,875.47","5,956.65","5,916.06"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Retail,2018,51.7,53.16,52.43
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Retail,2019,52.79,54.57,53.68
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Retail,2020,60.38,62.09,61.24
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Wholesale,2018,"4,926.04","5,040.80","4,983.42"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Wholesale,2019,"5,083.61","5,221.85","5,152.73"
Rajshahi,Bogra,Bogra Sadar,Bogra Sadar,Sugar (Imported),Wholesale,2020,"5,856.40","5,990.40","5,923.40"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Retail,2018,51.43,53.27,52.35
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Retail,2019,52.17,54.33,53.25
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Retail,2020,61.03,63.03,62.03
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Wholesale,2018,"4,865.51","4,934.49","4,900.00"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Wholesale,2019,"4,983.06","5,052.27","5,017.67"
Chittagong,Chittagong,Chittagong Sadar,Chittagong Sadar,Sugar (Imported),Wholesale,2020,"5,844.51","5,919.02","5,881.76"
Chittagong,Chittagong,Patiya,Patiya Sadar,Sugar (Imported),Retail,2019,58,60,59
Chittagong,Chittagong,Patiya,Patiya Sadar,Sugar (Imported),Retail,2020,62.39,64.72,63.55
Chittagong,Chittagong,Patiya,Patiya Sadar,Sugar (Imported),Wholesale,2019,"5,500.00","5,600.00","5,550.00"
Chittagong,Chittagong,Patiya,Patiya Sadar,Sugar (Imported),Wholesale,2020,"5,710.91","6,070.30","5,890.61"
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Sugar (Imported),Retail,2018,52.98,54.07,53.53
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Sugar (Imported),Retail,2019,53.68,55.19,54.43
Khulna,Chuadanga,Chuadanga Sadar,Chuadanga Sadar,Sugar (Imported),Retail,2020,61.55,63.66,62.6
